Section,Total,Year,Repeat
1,97.78,1,0
2,95.56,1,0
1,95.56,1,0
1,94.44,1,0
1,93.33,1,0
1,93.33,1,0
1,93.33,1,0
1,92.22,1,0
1,92.22,1,0
2,91.11,1,0
1,90,1,0
1,90,1,0
1,90,1,0
1,88.89,1,0
1,87.78,1,0
1,87.78,1,0
1,87.78,1,0
1,87.78,1,0
2,86.67,1,0
3,85.56,1,0
1,84.44,1,0
1,84.44,1,0
1,83.33,1,0
1,83.33,1,0
1,82.22,1,0
1,82.22,1,0
1,82.22,1,0
2,82.22,1,0
1,81.11,1,0
1,81.11,1,0
1,81.11,1,0
3,80,1,0
1,80,1,0
1,80,1,0
3,77.78,1,0
1,77.78,1,0
3,77.78,1,0
3,77.78,1,0
1,77.78,1,0
2,76.67,1,0
3,76.67,1,0
1,76.67,1,0
3,74.44,1,0
1,74.44,1,0
1,74.44,1,0
3,74.44,1,0
1,73.33,1,0
2,73.33,1,0
1,73.33,1,0
1,72.22,1,0
2,71.11,1,0
1,71.11,1,0
2,71.11,1,0
2,71.11,1,0
3,71.11,1,0
1,70,1,0
1,70,1,0
2,67.78,1,0
3,67.78,1,0
2,66.67,1,0
1,66.67,1,0
2,65.56,1,0
1,64.44,1,0
1,63.33,1,0
2,63.33,1,0
1,63.33,1,0
1,63.33,1,0
2,62.22,1,0
2,62.22,1,0
2,62.22,1,0
1,62.22,1,0
2,61.11,1,0
3,61.11,1,0
3,61.11,1,0
3,61.11,1,0
3,61.11,1,0
2,60,1,0
3,60,1,0
3,60,1,0
2,58.89,1,0
3,58.89,1,0
3,58.89,1,0
3,58.89,1,0
3,58.89,1,0
2,58.89,1,0
2,58.89,1,0
2,56.67,1,0
3,56.67,1,0
1,55.56,1,0
1,55.56,1,0
2,54.44,1,0
3,54.44,1,0
2,53.33,1,0
1,53.33,1,0
3,52.22,1,0
1,52.22,1,0
1,51.11,1,0
2,51.11,1,0
2,51.11,1,0
2,51.11,1,0
2,50,1,0
3,50,1,0
2,50,1,0
3,50,1,0
2,48.89,1,0
3,48.89,1,0
3,48.89,1,0
2,48.89,1,0
2,48.89,1,0
2,47.78,1,0
2,47.78,1,0
3,46.67,1,0
3,46.67,1,0
3,46.67,1,0
1,46.67,1,0
2,46.67,1,0
2,45.56,1,0
1,45.56,1,0
1,45.56,1,0
2,45.56,1,0
2,44.44,1,0
2,44.44,1,0
2,44.44,1,0
2,44.44,1,0
1,44.44,1,0
3,44.44,1,0
3,44.44,1,0
3,44.44,1,0
3,44.44,1,0
2,43.33,1,0
3,43.33,1,0
3,43.33,1,0
1,43.33,1,0
2,42.22,1,0
3,42.22,1,0
1,42.22,1,0
3,41.11,1,0
1,41.11,1,0
2,40,1,0
3,40,1,0
2,40,1,0
2,40,1,0
1,38.89,1,0
2,38.89,1,0
3,38.89,1,0
3,38.89,1,0
2,38.89,1,0
3,38.89,1,0
2,37.78,1,0
3,37.78,1,0
3,37.78,1,0
1,37.78,1,0
3,37.78,1,0
2,37.78,1,0
3,37.78,1,0
3,36.67,1,0
1,36.67,1,0
3,36.67,1,0
1,35.56,1,0
2,35.56,1,0
2,35.56,1,0
3,35.56,1,0
2,35.56,1,0
1,34.44,1,0
2,33.33,1,0
2,33.33,1,0
1,33.33,1,0
2,33.33,1,0
2,33.33,1,0
3,33.33,1,0
3,33.33,1,0
3,32.22,1,0
3,32.22,1,0
3,32.22,1,0
2,31.11,1,0
3,31.11,1,0
3,31.11,1,0
2,30,1,0
1,30,1,0
3,30,1,0
3,30,1,0
2,28.89,1,0
1,28.89,1,0
3,28.89,1,0
3,27.78,1,0
3,27.78,1,0
1,25.56,1,0
2,25.56,1,0
2,25.56,1,0
3,24.44,1,0
1,24.44,1,0
2,23.33,1,0
3,23.33,1,0
3,21.11,1,0
3,21.11,1,0
3,20,1,0
1,17.78,1,0
1,15.56,1,0
3,14.44,1,0
2,A,1,0
3,A,1,0
2,A,2,0
2,A,2,0
1,92,2,0
1,92,2,0
1,91,2,0
1,91,2,0
1,91,2,0
1,90,2,0
2,90,2,0
1,90,2,0
1,90,2,0
1,89,2,0
1,88,2,0
1,88,2,0
1,88,2,0
1,87,2,0
2,87,2,0
1,87,2,0
3,87,2,0
2,86,2,0
3,86,2,0
1,86,2,0
2,85,2,0
3,84,2,0
1,84,2,0
1,83,2,0
1,83,2,0
1,83,2,0
3,82,2,0
1,82,2,0
1,82,2,0
1,82,2,0
3,81,2,0
1,81,2,0
1,81,2,0
1,81,2,0
1,81,2,0
1,81,2,0
3,80,2,0
1,80,2,0
1,80,2,0
1,80,2,0
3,79,2,0
1,79,2,0
1,79,2,0
1,78,2,0
1,78,2,0
3,77,2,0
3,77,2,0
2,77,2,0
2,77,2,0
3,77,2,0
3,76,2,0
2,75,2,0
2,75,2,0
2,74,2,0
3,74,2,0
2,74,2,0
1,74,2,0
1,73,2,0
2,72,2,0
2,72,2,0
1,71,2,0
2,71,2,0
2,71,2,0
3,71,2,0
1,71,2,0
1,70,2,0
3,70,2,0
1,70,2,0
1,70,2,0
1,70,2,0
3,70,2,0
1,70,2,0
1,70,2,0
1,70,2,0
3,69,2,0
3,69,2,0
3,69,2,0
1,69,2,0
1,69,2,0
2,69,2,0
3,68,2,0
2,68,2,0
3,68,2,0
3,68,2,0
1,68,2,0
2,68,2,0
1,67,2,0
3,67,2,0
1,67,2,0
1,67,2,0
3,67,2,0
3,65,2,0
3,65,2,0
3,65,2,0
3,65,2,0
2,65,2,0
2,64,2,0
3,64,2,0
2,64,2,0
1,64,2,0
1,64,2,0
1,64,2,0
2,64,2,0
2,63,2,0
3,63,2,0
3,62,2,0
3,62,2,0
2,62,2,0
3,62,2,0
1,61,2,0
3,61,2,0
3,61,2,0
1,61,2,0
3,61,2,0
1,60,2,0
1,60,2,0
2,60,2,0
1,60,2,0
2,59,2,0
2,59,2,0
1,59,2,0
1,59,2,0
3,59,2,0
3,58,2,0
2,58,2,0
2,58,2,0
2,58,2,0
3,58,2,0
2,57,2,0
3,57,2,0
2,56,2,0
2,56,2,0
2,56,2,0
3,56,2,0
3,56,2,0
2,55,2,0
2,55,2,0
3,55,2,0
1,55,2,0
3,54,2,0
3,54,2,0
3,53,2,0
2,53,2,0
1,53,2,0
1,53,2,0
3,53,2,0
3,53,2,0
1,53,2,0
3,53,2,0
3,52,2,0
3,52,2,0
3,51,2,0
2,51,2,0
1,51,2,0
3,50,2,0
2,50,2,0
3,50,2,0
1,50,2,0
2,49,2,0
1,49,2,0
1,49,2,0
3,49,2,0
2,49,2,0
3,48,2,0
2,48,2,0
2,48,2,0
2,47,2,0
2,47,2,0
2,47,2,0
2,47,2,0
2,47,2,0
2,46,2,0
2,46,2,0
2,46,2,0
2,46,2,0
1,46,2,0
2,45,2,0
3,45,2,0
1,43,2,0
3,43,2,0
3,43,2,0
2,43,2,0
3,43,2,0
3,42,2,0
2,42,2,0
2,41,2,1
2,41,2,0
2,41,2,0
2,41,2,0
2,41,2,0
2,40,2,1
3,40,2,0
3,40,2,0
2,40,2,0
3,39,2,0
3,39,2,0
2,39,2,0
3,38,2,0
2,38,2,0
2,38,2,0
2,37,2,0
2,37,2,0
1,37,2,0
3,35,2,0
2,35,2,0
2,34,2,0
3,34,2,0
3,33,2,0
2,32,2,0
2,32,2,0
3,32,2,0
2,32,2,0
3,31,2,0
2,31,2,0
1,30,2,1
2,30,2,0
3,30,2,0
3,29,2,0
3,27,2,0
2,27,2,0
3,24,2,0
2,23,2,0
3,22,2,0
2,21,2,0
3,21,2,0
2,21,2,0
2,18,2,0
3,14,2,0
2,11,2,0
2,2,2,0
1,97,3,0
1,95,3,0
1,93,3,0
1,91,3,0
1,89,3,0
1,89,3,0
1,88,3,0
1,88,3,0
1,88,3,0
1,87,3,0
1,86,3,0
1,86,3,0
2,86,3,0
1,85,3,0
1,85,3,0
1,84,3,0
2,84,3,0
1,83,3,0
1,82,3,0
1,82,3,0
1,82,3,0
1,81,3,0
1,80,3,0
2,79,3,0
1,78,3,0
1,78,3,0
1,78,3,0
1,77,3,0
1,77,3,0
1,75,3,0
1,74,3,0
1,73,3,0
1,73,3,0
3,73,3,0
3,73,3,0
1,72,3,0
1,71,3,0
2,70,3,0
2,70,3,0
3,70,3,0
2,69,3,0
2,69,3,0
3,69,3,0
3,69,3,0
1,68,3,0
3,68,3,1
1,67,3,0
2,67,3,0
3,67,3,0
1,66,3,0
2,65,3,0
2,65,3,0
3,65,3,0
3,65,3,0
1,64,3,0
2,64,3,0
1,63,3,0
1,63,3,0
1,63,3,0
2,63,3,0
2,63,3,0
3,63,3,0
1,62,3,0
1,62,3,0
1,61,3,0
1,61,3,0
3,61,3,0
3,61,3,0
2,60,3,0
2,60,3,0
3,60,3,0
3,58,3,0
1,57,3,0
2,57,3,0
2,57,3,0
3,57,3,0
1,56,3,0
3,56,3,0
3,56,3,0
2,55,3,0
2,55,3,0
2,55,3,0
3,55,3,0
3,55,3,0
3,54,3,0
1,53,3,0
2,53,3,0
3,53,3,1
1,52,3,0
1,52,3,0
1,52,3,0
2,52,3,0
2,52,3,0
3,52,3,0
3,52,3,0
3,52,3,0
1,51,3,0
2,51,3,0
3,51,3,0
3,51,3,0
2,50,3,0
2,50,3,0
3,50,3,0
3,50,3,0
1,49,3,0
2,49,3,0
2,49,3,0
2,49,3,0
2,49,3,0
3,49,3,1
1,48,3,0
2,48,3,0
2,48,3,0
2,48,3,0
3,48,3,0
1,47,3,0
2,47,3,0
2,47,3,0
2,47,3,0
3,47,3,0
1,45,3,0
1,45,3,0
1,44,3,0
2,44,3,0
3,44,3,0
3,44,3,0
3,43,3,0
3,43,3,0
1,42,3,0
2,42,3,0
2,42,3,0
3,42,3,1
1,41,3,0
1,40,3,0
1,40,3,0
2,40,3,0
2,40,3,0
3,40,3,0
3,40,3,0
3,40,3,0
3,39,3,0
3,39,3,0
2,38,3,0
3,38,3,0
3,38,3,1
3,37,3,0
3,37,3,0
1,36,3,1
1,35,3,0
1,35,3,1
2,35,3,0
2,35,3,0
2,35,3,0
3,35,3,0
2,34,3,0
3,34,3,0
2,33,3,0
2,33,3,0
2,33,3,0
3,33,3,0
3,33,3,0
3,33,3,0
3,33,3,1
3,31,3,1
2,30,3,0
2,30,3,0
2,29,3,0
3,29,3,0
3,29,3,1
1,28,3,0
2,28,3,0
3,28,3,1
2,27,3,0
2,26,3,0
3,26,3,0
3,26,3,0
3,25,3,0
3,25,3,0
2,24,3,0
2,23,3,0
2,22,3,0
2,22,3,0
3,21,3,0
3,18,3,0
3,16,3,1
3,15,3,0
3,14,3,0
1,88.7,4,0
1,86,4,0
1,85.5,4,0
3,84.9,4,0
1,84.4,4,0
1,82.3,4,0
3,82.3,4,0
1,82.3,4,0
1,82.3,4,0
1,78.1,4,0
1,77.6,4,0
1,75.4,4,0
1,75.4,4,0
2,74.9,4,0
1,73.9,4,0
1,72.8,4,0
1,72.3,4,0
3,71.8,4,0
1,71.2,4,0
3,71.2,4,0
1,70.7,4,0
1,70.7,4,0
2,70.7,4,0
2,70.7,4,0
1,70.7,4,0
1,70.2,4,0
3,70.2,4,0
2,69.7,4,0
2,69.7,4,0
2,68.6,4,0
1,68.6,4,0
1,67.6,4,0
1,67.6,4,0
1,67.6,4,0
1,67.6,4,0
3,67,4,0
1,66.5,4,0
3,66.5,4,0
3,66.5,4,0
3,65.4,4,0
2,65.4,4,0
2,65.4,4,0
2,65.4,4,0
2,65.4,4,0
3,65.4,4,0
1,64.4,4,0
1,64.4,4,0
1,64.4,4,0
2,64.4,4,0
1,64.4,4,0
3,64.4,4,0
2,64.4,4,0
3,64.4,4,0
3,64.4,4,0
3,63.3,4,0
3,63.3,4,0
2,63.3,4,0
1,62.7,4,0
2,62.3,4,0
1,62.3,4,0
1,62.3,4,0
3,62.3,4,0
2,61.2,4,0
3,61.2,4,0
2,60.2,4,0
2,60.2,4,0
2,60.2,4,0
3,60.2,4,0
3,60.2,4,0
2,60.2,4,0
2,59.1,4,0
3,58.1,4,0
2,57,4,0
3,57,4,0
1,55.9,4,0
2,55.9,4,0
1,55.9,4,0
3,55.9,4,0
3,54.9,4,0
3,53.8,4,0
3,53.8,4,0
2,52.8,4,0
1,52.8,4,0
3,52.8,4,0
3,52.8,4,0
3,52.8,4,0
2,51.7,4,0
2,51.7,4,0
2,51.7,4,0
3,51.7,4,0
3,51.7,4,0
3,51.7,4,0
3,51.7,4,0
1,50.7,4,0
2,50.7,4,0
1,50.7,4,0
3,50.7,4,0
1,49.6,4,0
3,49.6,4,0
2,49.6,4,0
3,49.6,4,0
2,49.6,4,0
3,49.6,4,0
2,48.6,4,0
2,48.6,4,0
1,48.6,4,0
3,48.6,4,0
1,47.5,4,0
3,47.5,4,0
2,46.4,4,0
1,46.4,4,0
1,46.4,4,0
3,46.4,4,0
2,45.4,4,0
2,44.3,4,0
1,44.3,4,0
2,44.3,4,0
1,44.3,4,0
3,44.3,4,0
2,44.3,4,0
2,44.3,4,0
3,44.3,4,0
2,43.3,4,0
3,43.3,4,0
2,43.3,4,0
3,43.3,4,0
1,42.2,4,0
1,42.2,4,0
3,42.2,4,0
3,42.2,4,0
2,41.2,4,0
3,41.2,4,0
3,41.2,4,0
2,40.1,4,0
2,40.1,4,0
1,40.1,4,0
3,40.1,4,0
3,40.1,4,0
2,39.1,4,0
2,39.1,4,0
2,38,4,0
1,38,4,0
2,38,4,0
1,36.9,4,0
3,36.9,4,0
2,35.9,4,0
3,35.9,4,0
3,35.9,4,0
1,34.8,4,0
2,33.8,4,0
1,33.8,4,0
3,33.8,4,0
1,32.7,4,0
2,32.7,4,0
2,32.7,4,0
1,32.7,4,0
3,32.7,4,0
2,31.7,4,0
3,31.7,4,0
2,31.7,4,0
3,31.7,4,0
3,31.7,4,0
2,30.6,4,0
3,29.6,4,0
1,29.6,4,0
3,28.5,4,1
2,28.5,4,0
2,27.4,4,0
3,27.4,4,0
3,27.4,4,0
1,26.4,4,1
1,26.4,4,0
3,26.4,4,0
3,25.3,4,0
2,24.3,4,0
3,24.3,4,0
2,23.2,4,0
1,23.2,4,0
2,23.2,4,0
2,23.2,4,0
2,23.2,4,0
3,22.2,4,0
3,20.1,4,0
1,19,4,0
2,19,4,0
3,19,4,0
3,17.9,4,0
3,17.9,4,0
1,15.8,4,0
2,14.8,4,0
3,14.8,4,0
3,14.8,4,0
3,13.7,4,1
2,13.7,4,0
1,13.7,4,0
3,13.7,4,0
3,12.7,4,0
2,7.4,4,0
3,2.1,4,1
1,95,5,0
1,92,5,0
1,89,5,0
1,89,5,0
3,88,5,0
1,88,5,0
3,88,5,0
1,87,5,0
1,85,5,0
1,85,5,0
1,84,5,0
1,83,5,0
1,83,5,0
