Section,Midterm,Final,Year,Repeat,Teacher midterm,Teacher final
1,81,69.5,4,0,2,2
1,88,65.5,4,0,2,2
3,55,49,4,0,2,2
1,30,36.5,4,0,2,2
1,72.5,94.5,4,0,2,2
1,84.5,82.5,4,0,2,2
1,68.5,73,4,0,2,2
1,83,64.5,4,0,2,2
3,33,42,4,0,2,2
3,53.5,60,4,0,2,2
3,34.5,42,4,0,2,2
1,52,56,4,0,2,2
3,20,A,4,0,2,2
3,69,58,4,0,2,2
1,80.5,79.5,4,0,2,2
3,42,25,4,0,2,2
3,56.5,65.5,4,0,2,2
3,52,52,4,0,2,2
3,7.5,14.5,4,0,2,2
1,83,77,4,0,2,2
3,40,48,4,0,2,2
1,72.5,75,4,0,2,2
3,17.5,28.5,4,0,2,2
3,24,18,4,0,2,2
3,41,35,4,0,2,2
3,39.5,39.5,4,0,2,2
3,11.5,28,4,0,2,2
2,19,15,4,0,1,1
3,77,84.5,4,0,2,2
2,65,62,4,0,1,1
1,13.5,16.5,4,0,2,2
2,23,25,4,0,1,1
1,52.5,47.5,4,0,2,2
3,35,39.5,4,0,2,2
3,36.5,19.5,4,0,2,2
3,24,26,4,0,2,2
1,68.5,53,4,0,2,2
2,40,46,4,0,1,1
1,32.5,14,4,0,2,2
2,27,43.5,4,0,1,1
2,44.5,44.5,4,0,1,1
2,78,73.5,4,0,1,1
1,60.5,55,4,0,2,2
3,57,69.5,4,0,2,2
3,69,77,4,0,2,2
3,54,52,4,0,2,2
1,86.5,82,4,0,2,2
3,24,24.5,4,0,2,2
3,26,36,4,0,2,2
3,37.5,29,4,0,2,2
1,51,42.5,4,0,2,2
3,10.5,A,4,0,2,2
3,66.5,67,4,0,2,2
3,52,56.5,4,0,2,2
3,26.5,16,4,0,2,2
1,59,58,4,0,2,2
2,34,41.5,5,1,2,2
2,34.5,24.5,5,1,2,2
2,17,9,5,1,2,2
2,0,A,5,1,2,2
1,42.5,26.5,5,0,1,1
1,51.5,43,5,0,1,1
1,69.5,55,5,0,1,1
1,69,68.5,5,0,1,1
2,23,35.5,5,0,2,2
1,66.5,61.5,5,0,1,1
1,82.5,53.5,5,0,1,1
1,57,29.5,5,0,1,1
2,41,39,5,0,2,2
1,73.5,48.5,5,0,1,1
1,83,71.5,5,0,1,1
1,56,40,5,0,1,1
1,49.5,51,5,0,1,1
2,54.5,49,5,0,2,2
1,81,73.5,5,0,1,1
1,52.5,43.5,5,0,1,1
2,16.5,27.5,5,0,2,2
1,43,31,5,0,1,1
2,32,52.5,5,0,2,2
2,40,31.5,5,0,2,2
1,80.5,74.5,5,0,1,1
1,79,44,5,0,1,1
1,76,74.5,5,0,1,1
1,47.5,22.5,5,0,1,1
2,24,15.5,5,0,2,2
2,39,34,5,0,2,2
2,30.5,28.5,5,0,2,2
2,49,43,5,0,2,2
1,60.5,57,5,0,1,1
2,28,37,5,0,2,2
1,73.5,59,5,0,1,1
1,67.5,41,5,0,1,1
1,79.5,51.5,5,0,1,1
2,28,49,5,0,2,2
2,46,61.5,5,0,2,2
1,72.5,61.5,5,0,1,1
1,54.5,41.5,5,0,1,1
1,72.5,62,5,0,1,1
1,69,63,5,0,1,1
2,46,43,5,0,2,2
1,41.5,48.5,5,0,1,1
1,61.5,55,5,0,1,1
2,49.5,57,5,0,2,2
2,53,52,5,0,2,2
1,64,52.5,5,0,1,1
1,88,79,5,0,1,1
1,71,65.5,5,0,1,1
2,47.5,46.5,5,0,2,2
2,78,67.5,5,0,2,2
1,39.5,48.5,5,0,1,1
2,22.5,A,5,0,2,2
1,66,70,5,0,1,1
1,54.5,50,5,0,1,1
1,58,53.5,5,0,1,1
1,84,54.5,5,0,1,1
2,32,28.5,5,0,2,2
1,52,34,5,0,1,1
1,63.5,48.5,5,0,1,1
1,54.5,44,5,0,1,1
1,60.5,66,5,0,1,1
2,58.5,39.5,5,0,2,2
2,20.5,24.5,5,0,2,2
1,83,65,5,0,1,1
2,36,41.5,5,0,2,2
2,27,47.5,5,0,2,2
2,31,35,5,0,2,2
2,27.5,A,5,0,2,2
2,31.5,46.5,5,0,2,2
2,43.5,29,5,0,2,2
1,39.5,42,5,0,1,1
2,41.5,27,5,0,2,2
2,38.5,31.5,5,0,2,2
1,65,50.5,5,0,1,1
1,64,33.5,5,0,1,1
2,69,70.5,5,0,2,2
2,29,16,5,0,2,2
2,61.5,78,5,0,2,2
1,68,52,5,0,1,1
2,38,39.5,5,0,2,2
2,34,35.5,5,0,2,2
2,37.5,47,5,0,2,2
2,16,44.5,5,0,2,2
2,28.5,29,5,0,2,2
2,22.5,43.5,5,0,2,2
1,80.5,48.5,5,0,1,1
1,66.5,50.5,5,0,1,1
1,62.5,60,5,0,1,1
2,46,28.5,5,0,2,2
1,83,94.5,5,0,1,1
2,A,A,6,1,2,2
3,42,38.07,6,1,1,1
3,23,15.97,6,1,1,1
3,35,43.03,6,0,1,1
1,46.5,29,6,0,2,1
2,84.5,56.57,6,0,2,2
1,65,84.13,6,0,2,1
1,64,78.17,6,0,2,1
1,48.5,45.8,6,0,2,1
1,40.5,72.23,6,0,2,1
1,71.5,69.73,6,0,2,1
2,16.5,26.53,6,0,2,2
3,39,70.53,6,0,1,1
1,85.5,83.33,6,0,2,1
3,79.5,88.6,6,0,1,1
1,43.5,69.13,6,0,2,1
3,82,91.4,6,0,1,1
2,80.5,77.23,6,0,2,2
3,85.5,97.8,6,0,1,1
3,44.5,42.37,6,0,1,1
2,56.5,54.67,6,0,2,2
3,44,45.53,6,0,1,1
2,34,54.33,6,0,2,2
1,87.5,84.9,6,0,2,1
2,23.5,37.13,6,0,2,2
3,16.5,32.8,6,0,1,1
2,86,85,6,0,2,2
1,41,67.1,6,0,2,1
3,64.5,80.17,6,0,1,1
1,46,41.37,6,0,2,1
3,12.5,21.57,6,0,1,1
2,25.5,54.7,6,0,2,2
3,71,76.4,6,0,1,1
2,73.5,83.6,6,0,2,2
1,30,57.9,6,0,2,1
3,31.5,45.83,6,0,1,1
1,46,44.97,6,0,2,1
2,48.5,83.9,6,0,2,2
2,76.5,76.93,6,0,2,2
1,54,70.83,6,0,2,1
1,70,91.67,6,0,2,1
2,80,80.27,6,0,2,2
1,55.5,72.5,6,0,2,1
2,35,64.47,6,0,2,2
3,23,23.23,6,0,1,1
1,30,71.4,6,0,2,1
2,12.5,41,6,0,2,2
3,65,69.97,6,0,1,1
1,78.5,55.57,6,0,2,1
2,34,35.27,6,0,2,2
2,50,38.6,6,0,2,2
3,42.5,57.5,6,0,1,1
1,55,39.33,6,0,2,1
2,9.5,26.1,6,0,2,2
1,69.5,81.4,6,0,2,1
1,43,66.37,6,0,2,1
1,52.5,79,6,0,2,1
3,12,55.27,6,0,1,1
1,81.5,90,6,0,2,1
3,75.5,93.07,6,0,1,1
2,18.5,72.23,6,0,2,2
2,23,51,6,0,2,2
2,64,63.07,6,0,2,2
3,8,17.63,6,0,1,1
1,5,61.63,6,0,2,1
2,10,59.73,6,0,2,2
1,20.5,33.3,6,0,2,1
3,52.5,61.4,6,0,1,1
2,23.5,45.83,6,0,2,2
3,38.5,64.97,6,0,1,1
3,57.5,61.83,6,0,1,1
1,29.5,57.23,6,0,2,1
1,17.5,21,6,0,2,1
1,25,30.57,6,0,2,1
3,12.5,59.6,6,0,1,1
3,61.5,72.5,6,0,1,1
1,25,58.33,6,0,2,1
3,12.5,20.83,6,0,1,1
1,9.5,17.63,6,0,2,1
3,66,76.4,6,0,1,1
2,32,61.57,6,0,2,2
1,50,60.23,6,0,2,1
1,61,73.33,6,0,2,1
2,27.5,20.43,6,0,2,2
1,58.5,82.77,6,0,2,1
2,72,65.53,6,0,2,2
3,31.5,8.43,6,0,1,1
2,56.5,65.57,6,0,2,2
2,22.5,35.53,6,0,2,2
2,28,37.5,6,0,2,2
2,35,31.27,6,0,2,2
1,48,62.67,6,0,2,1
3,8,48.63,6,0,1,1
1,37,80,6,0,2,1
1,43,74.43,6,0,2,1
2,39,69.33,6,0,2,2
3,49.5,48.93,6,0,1,1
3,39,48.07,6,0,1,1
3,56.5,50.57,6,0,1,1
2,70,84.17,6,0,2,2
2,33.5,63.33,6,0,2,2
2,41,58.33,6,0,2,2
3,30,63.63,6,0,1,1
2,26,42.5,6,0,2,2
1,33,43.77,6,0,2,1
3,7.5,A,6,0,1,1
3,76.5,77.4,6,0,1,1
2,21.5,54.07,6,0,2,2
1,22.5,37.93,6,0,2,1
2,41,44.97,6,0,2,2
1,65.5,79.73,6,0,2,1
1,39.5,65,6,0,2,1
3,56,70.3,6,0,1,1
3,67.5,87.5,6,0,1,1
2,54,58.03,6,0,2,2
1,48,78.6,6,0,2,1
2,14.5,41.7,6,0,2,2
1,39,18.5,6,0,2,1
2,59,76.67,6,0,2,2
1,45,49.07,6,0,2,1
1,34,55.47,6,0,2,1
3,44.5,71,6,0,1,1
3,82.5,79.43,6,0,1,1
2,43,43.37,6,0,2,2
1,25,A,6,0,2,1
1,24,19.23,6,0,2,1
2,24,A,6,0,2,2
3,A,A,6,0,1,1
1,46.5,54.43,6,0,2,1
2,28.5,31.93,6,0,2,2
3,23.5,74.47,6,0,1,1
2,24,29.9,6,0,2,2
3,60,40.27,6,0,1,1
1,37.5,28.87,6,0,2,1
2,26.5,46.23,6,0,2,2
1,38.5,40,6,0,2,1
3,38,30.53,6,0,1,1
3,27,14.67,6,0,1,1
3,22,39.23,6,0,1,1
3,43,66.83,6,0,1,1
3,14.5,26.73,6,0,1,1
1,38.5,68.2,6,0,2,1
1,28.5,47.53,6,0,2,1
1,36,A,6,0,2,1
1,23,15.27,6,0,2,1
1,13,12.4,6,0,2,1
1,30.5,23.87,6,0,2,1
1,50,36.37,6,0,2,1
2,14.5,22.97,6,0,2,2
2,17.5,11,6,0,2,2
2,35,56.4,6,0,2,2
2,24,53.17,6,0,2,2
3,28.5,24.57,6,0,1,1
3,28,69.47,6,0,1,1
3,20,63.63,6,0,1,1
2,17,32.33,6,0,2,2
2,26,18.7,6,0,2,2
3,51,61,6,0,1,1
3,22.5,19.83,6,0,1,1
3,28,58.63,6,0,1,1
3,19,25.53,6,0,1,1
3,24.5,42.67,6,0,1,1
1,56.5,75,6,0,2,1
1,29.5,8.9,6,0,2,1
1,31,56.4,6,0,2,1
2,85.5,69.73,6,0,2,2
2,43,52.2,6,0,2,2
1,50.5,50.17,6,0,2,1
3,18,16.03,6,0,1,1
3,29,42.73,6,0,1,1
3,36.5,17.2,6,0,1,1
2,37.5,42.73,6,0,2,2
1,38.5,30,6,0,2,1
3,58,50.27,6,0,1,1
2,37,37.93,6,0,2,2
2,3,19.3,6,0,2,2
2,15,26.53,6,0,2,2
2,11.5,A,6,0,2,2
3,8,12.9,6,0,1,1
1,13,18.07,6,0,2,1
2,29,71.93,6,0,2,2
1,65,72.6,7,0,2,1
1,70.71,81.2,7,0,2,1
1,90.71,95.7,7,0,2,1
3,90.71,85.7,7,0,1,1
1,45,54,7,0,2,1
1,86.43,76.9,7,0,2,1
3,65.71,62.6,7,0,1,1
1,42.14,35.9,7,0,2,1
1,51.43,46.9,7,0,2,1
1,82.14,97.6,7,0,2,1
1,87.86,88.8,7,0,2,1
1,45,43.3,7,0,2,1
1,63.57,77.4,7,0,2,1
1,62.86,69.8,7,0,2,1
1,24.29,47.9,7,0,2,1
1,37.86,36,7,0,2,1
1,20,42.6,7,0,2,1
1,47.86,44.1,7,0,2,1
1,33.57,34.3,7,0,2,1
1,79.29,82.2,7,0,2,1
1,36.43,39,7,0,2,1
2,57.86,69.3,7,0,2,2
2,45.71,60,7,0,2,2
2,37.86,31.2,7,0,2,2
2,67.86,79.3,7,0,2,2
2,57.86,79.1,7,0,2,2
2,70,77.9,7,0,2,2
2,48.57,62.1,7,0,2,2
2,94.29,92.1,7,0,2,2
1,51.43,55.2,7,0,2,1
1,64.29,64.3,7,0,2,1
2,32.86,40.5,7,0,2,2
2,54.29,87.6,7,0,2,2
1,56.43,56.9,7,0,2,1
2,51.43,70.5,7,0,2,2
2,33.57,38.4,7,0,2,2
2,80,82.4,7,0,2,2
2,44.29,33.8,7,0,2,2
2,78.57,85.7,7,0,2,2
2,87.14,89.5,7,0,2,2
2,69.29,86.9,7,0,2,2
2,50.71,61.4,7,0,2,2
2,47.86,66,7,0,2,2
1,62.86,53.1,7,0,2,1
1,62.86,77.6,7,0,2,1
3,65,72.4,7,0,1,1
3,67.86,66.9,7,0,1,1
3,74.29,86.4,7,0,1,1
3,40.71,49.5,7,0,1,1
3,30,59.3,7,0,1,1
3,38.57,31.7,7,0,1,1
3,33.57,29.1,7,0,1,1
3,50.71,48.8,7,0,1,1
3,73.57,72.9,7,0,1,1
3,73.57,75.8,7,0,1,1
3,57.14,71.2,7,0,1,1
3,48.57,46.2,7,0,1,1
3,82.86,84,7,0,1,1
3,69.29,75.2,7,0,1,1
3,47.86,30.7,7,0,1,1
3,49.29,59.8,7,0,1,1
3,47.14,54,7,0,1,1
1,45,50,7,0,2,1
3,25.71,22.6,7,0,1,1
3,89.29,88.6,7,0,1,1
1,55,68.6,7,0,2,1
3,56.43,26.7,7,0,1,1
1,52.14,49,7,0,2,1
3,42.86,38.3,7,0,1,1
1,67.86,80,7,0,2,1
1,29.29,A,7,0,2,1
1,70.71,54.3,7,0,2,1
1,74.29,79.3,7,0,2,1
2,73.57,80,7,0,2,2
1,40.71,48.3,7,0,2,1
2,66.43,76.9,7,0,2,2
2,83.57,84.5,7,0,2,2
2,45.71,55.2,7,0,2,2
2,62.86,70.5,7,0,2,2
2,63.57,65,7,0,2,2
2,33.57,42.4,7,0,2,2
2,62.86,55.2,7,0,2,2
2,44.29,41.7,7,0,2,2
2,52.14,55,7,0,2,2
2,53.57,59,7,0,2,2
2,63.57,62.2,7,0,2,2
2,57.14,45.5,7,0,2,2
2,44.29,45.8,7,0,2,2
3,52.14,65,7,0,1,1
2,70.71,90.7,7,0,2,2
3,41.43,52.4,7,0,1,1
3,86.43,77.9,7,0,1,1
3,50,53.8,7,0,1,1
3,52.86,53.1,7,0,1,1
3,59.29,60.7,7,0,1,1
3,46.43,39.5,7,0,1,1
3,46.43,67.4,7,0,1,1
3,65,61.8,7,0,1,1
3,35,56.7,7,0,1,1
3,49.29,66.9,7,0,1,1
3,28.57,15.4,7,0,1,1
3,31.43,45,7,0,1,1
3,30,31.7,7,0,1,1
1,72.14,79.3,7,0,2,1
1,44.29,49.3,7,0,2,1
1,57.14,36.9,7,0,2,1
1,39.29,35.9,7,0,2,1
1,43.57,41,7,0,2,1
1,56.43,69.5,7,0,2,1
1,50.71,56.2,7,0,2,1
2,42.86,44.5,7,0,2,2
2,55.71,78.6,7,0,2,2
2,75.71,86.4,7,0,2,2
1,65.71,75,7,0,2,1
2,45.71,77.4,7,0,2,2
2,33.57,0,7,0,2,2
3,45.71,62.4,7,0,1,1
3,57.86,72.8,7,0,1,1
3,45,73.8,7,0,1,1
1,64.29,58.9,7,0,2,1
2,55.71,58.1,7,0,2,2
2,48.57,55.7,7,0,2,2
2,91.43,89.8,7,0,2,2
2,65.71,63.6,7,0,2,2
2,42.86,33.3,7,0,2,2
3,41.43,41.4,7,0,1,1
3,29.29,31.7,7,0,1,1
3,42.14,53.8,7,0,1,1
2,27.14,15.6,7,0,2,2
2,80.71,81.7,7,0,2,2
2,58.57,76.7,7,0,2,2
2,50,39.5,7,0,2,2
3,49.29,71.2,7,0,1,1
3,40,29.3,7,0,1,1
3,45.71,54.3,7,0,1,1
3,35.71,28.3,7,0,1,1
3,43.57,36.7,7,0,1,1
3,37.86,37.9,7,0,1,1
1,57.14,69.5,7,0,2,1
1,58.57,72.4,7,0,2,1
1,39.29,28.7,7,0,2,1
2,40.71,33.6,7,0,2,2
2,48.57,35.9,7,0,2,2
2,62.14,63.8,7,0,2,2
3,14.29,31.7,7,0,1,1
3,66.43,75.3,7,0,1,1
3,37.14,6.1,7,0,1,1
1,53.57,51.4,7,0,2,1
2,59.29,64.7,7,0,2,2
1,62.14,80.5,7,0,2,1
1,61.43,77.1,7,0,2,1
1,52.14,35.5,7,0,2,1
1,40,31.7,7,0,2,1
1,45.71,16.7,7,0,2,1
2,60,50.7,7,0,2,2
2,68.57,69.8,7,0,2,2
2,40,46.7,7,0,2,2
2,35.71,52.4,7,0,2,2
3,90.71,89.8,7,0,1,1
3,49.29,36.4,7,0,1,1
3,49.29,43.3,7,0,1,1
3,28.57,33.3,7,0,1,1
3,67.14,45.4,7,0,1,1
3,27.14,24.2,7,0,1,1
2,28.57,28.6,7,0,2,2
2,44.29,38.1,7,0,2,2
3,40.71,35,7,0,1,1
2,60.71,76.9,7,0,2,2
1,19.29,A,7,1,2,1
3,41.43,48.4,7,0,1,1
1,A,A,7,0,2,1
2,A,A,7,1,2,2
1,A,A,7,0,2,1
1,A,A,7,0,2,1
3,25.71,A,7,0,1,1
3,29.29,A,7,0,1,1
2,19.29,A,7,0,2,2
3,80,86.7,8,0,4,1
2,33.6,35.9,8,0,1,1
1,44.3,46.2,8,0,2,2
2,35.4,37.7,8,0,1,1
1,29.7,29.8,8,0,2,2
3,64.3,69.1,8,0,4,1
1,52.9,71,8,0,2,2
1,85,84.8,8,0,2,2
1,80.7,85.1,8,0,2,2
1,42.9,32.1,8,0,2,2
2,71.1,75.3,8,0,1,1
3,10.4,12.4,8,0,4,1
1,58.6,39.1,8,0,2,2
1,36.8,39,8,0,2,2
1,80.7,72.9,8,0,2,2
1,49.3,43.6,8,0,2,2
2,68.6,80.7,8,0,1,1
3,15.4,12.6,8,0,4,1
1,54.3,42.4,8,0,2,2
1,43.6,40,8,0,2,2
1,95.7,90,8,0,2,2
1,69.3,76.9,8,0,2,2
1,30.7,13.9,8,0,2,2
1,56.1,45.5,8,0,2,2
2,39.3,24.1,8,0,1,1
2,72.9,70.9,8,0,1,1
1,17.9,A,8,0,2,2
1,59.3,35.5,8,0,2,2
2,32.9,23.1,8,0,1,1
2,41.4,26.4,8,0,1,1
1,47.1,55.1,8,0,2,2
2,67.9,68.1,8,0,1,1
2,57.9,45,8,0,1,1
3,11.1,25.9,8,0,4,1
1,50,47.5,8,0,2,2
2,46.4,38.9,8,0,1,1
1,59.3,43.3,8,0,2,2
2,81.4,75.7,8,0,1,1
1,51.8,50.5,8,0,2,2
2,62.1,79.8,8,0,1,1
1,74.3,55,8,0,2,2
2,55.7,49.1,8,0,1,1
1,40.7,31.3,8,0,2,2
2,78.6,58.8,8,0,1,1
2,68.6,58.6,8,0,1,1
2,59.3,58.1,8,0,1,1
3,56.4,55,8,0,4,1
1,35.4,39.3,8,0,2,2
2,38.6,39.3,8,0,1,1
2,57.1,A,8,0,1,1
3,65.7,44.1,8,0,4,1
2,46.4,56.7,8,0,1,1
1,92.1,90.5,8,0,2,2
2,33.9,52.7,8,0,1,1
3,40.7,27.9,8,0,4,1
2,86.4,57.4,8,0,1,1
2,41.4,30.3,8,0,1,1
3,27.1,32.4,8,0,4,1
3,59.3,43.3,8,0,4,1
3,41.1,28.1,8,0,4,1
2,31.4,37.8,8,0,1,1
3,77.1,74.5,8,0,4,1
3,57.1,44.7,8,0,4,1
2,45.4,44,8,0,1,1
1,37.9,20.5,8,0,2,2
3,25.7,22.9,8,0,4,1
3,42.9,35.7,8,0,4,1
3,A,A,8,0,4,1
1,64.3,78.8,8,0,2,2
3,46.4,36.9,8,0,4,1
3,57.9,47.9,8,0,4,1
3,60.7,74.5,8,0,4,1
2,74.3,54.1,8,0,1,1
1,60.4,51.1,8,0,2,2
3,72.9,63.8,8,0,4,1
3,43.6,41.2,8,0,4,1
2,43.6,52.9,8,0,1,1
3,57.9,40.2,8,0,4,1
3,52.1,54.1,8,0,4,1
2,75,79.7,8,0,1,1
3,41.4,29.9,8,0,4,1
2,48.6,41.5,8,0,1,1
1,35,50.5,8,0,2,2
3,45.7,68.3,8,0,4,1
2,22.9,40.9,8,0,1,1
3,54.3,47.4,8,0,4,1
3,52.1,28.3,8,0,4,1
3,46.1,12.4,8,0,4,1
3,43.2,63.6,8,0,4,1
3,70,74.7,8,0,4,1
2,62.1,34.5,8,0,1,1
2,55,38.7,8,0,1,1
3,51.8,41.5,8,0,4,1
3,37.9,65,8,0,4,1
3,42.1,44.5,8,0,4,1
3,54.3,26.7,8,0,4,1
3,80,79,8,0,4,1
2,55.7,31.3,8,0,1,1
3,37.1,40.2,8,0,4,1
3,19.7,26,8,0,4,1
3,38.9,39.5,8,0,4,1
1,30,27.8,8,0,2,2
1,50.7,67.9,8,0,2,2
1,49.3,37.5,8,0,2,2
1,80.4,87.6,8,0,2,2
3,46.4,51.2,8,0,4,1
1,80,76.7,8,0,2,2
2,50.7,48.6,8,0,1,1
2,55.7,47.9,8,0,1,1
2,79.3,67.6,8,0,1,1
1,62.5,51.7,8,0,2,2
2,50.7,30.5,8,0,1,1
2,77.9,77.9,8,0,1,1
3,96.4,95,8,0,4,1
1,7.1,A,8,0,2,2
1,90.7,87.1,8,0,2,2
3,52.9,39.7,8,0,4,1
3,44.3,35.2,8,0,4,1
3,25.4,31.8,8,0,4,1
1,68.6,80,8,0,2,2
3,84.7,87.1,8,0,4,1
3,40.7,40.9,8,0,4,1
3,58.9,38.8,8,0,4,1
3,41.1,35,8,0,4,1
3,67.9,85.7,8,0,4,1
2,37.5,40.7,8,0,1,1
3,77.1,75,8,0,4,1
1,35.7,39.5,8,0,2,2
3,22.9,20,8,0,4,1
2,86.4,78.3,8,0,1,1
2,37.1,26.7,8,0,1,1
2,30.4,40.7,8,0,1,1
2,49.3,44.3,8,0,1,1
3,45.7,48.5,8,0,4,1
3,60,55.2,8,0,4,1
2,34.3,30.6,8,0,1,1
2,44.3,21.4,8,0,1,1
1,57.9,39.3,8,0,2,2
2,62.5,62.9,8,0,1,1
1,60.7,60.3,8,0,2,2
1,55,46.9,8,0,2,2
1,76.4,76.5,8,0,2,2
1,51.4,53.3,8,0,2,2
1,49.7,40.9,8,0,2,2
1,36.4,41.4,8,0,2,2
1,62.1,68.8,8,0,2,2
3,63.6,62.6,8,0,4,1
3,62.1,48.3,8,0,4,1
3,52.9,47.4,8,0,4,1
3,51.4,39.8,8,0,4,1
3,79.3,63.1,8,0,4,1
3,49.3,60.2,8,0,4,1
3,79.3,72.1,8,0,4,1
2,51.1,57.2,8,0,1,1
2,48.6,36.2,8,0,1,1
2,35,17.9,8,0,1,1
3,44.3,41.7,8,0,4,1
2,63.9,53,8,0,1,1
2,71.4,70.5,8,0,1,1
1,54.3,56.4,8,0,2,2
1,54.7,29.1,8,0,2,2
2,68.9,59,8,0,1,1
1,59.3,56.3,8,0,2,2
1,41.4,18.4,8,0,2,2
1,65,31.1,8,0,2,2
1,41.8,42.6,8,0,2,2
1,28.6,44.8,8,0,2,2
1,37.9,26.5,8,0,2,2
1,82.1,65.9,8,0,2,2
1,43.6,31.4,8,0,2,2
2,40,27.3,8,0,1,1
1,47.9,40.3,8,0,2,2
2,45.7,20,8,0,1,1
2,69.7,70.9,8,0,1,1
2,34.7,42,8,0,1,1
1,47.9,40.9,8,0,2,2
1,65.7,62.9,8,0,2,2
2,62.1,59.8,8,0,1,1
3,86.4,81.4,8,0,4,1
2,22.9,17,8,1,1,1
2,64.3,57.1,8,1,1,1
2,52.3,64.3,8,1,1,1
2,37.8,69.3,8,1,1,1
1,A,A,8,1,2,2
3,A,A,8,1,4,1
2,A,A,8,1,1,1
2,A,A,8,1,1,1
3,A,A,8,1,4,1
3,A,A,8,1,4,1
2,A,A,8,1,1,1
2,A,A,8,1,1,1
